N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Neutral,Neutral,Down,Neutral,Neutral,Wet,Neutral,VeryWet,VeryWet,Cloudy,Cloudy,Cloudy,Cloudy,Strong,Weak,StrongWest,Strong,None,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jul16_Aug10,F,CThruK,PartInhibit,Average,Average,F,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,PartInhibit,Weak,Slight,F,XNIL,XNIL,XNIL,HighEvrywher,CloseToDryAd,VeryMoist,ModerateOrLe,NoMajor,Other,None,LittleChange,None,LV,LVorOther,LV
StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Wet,Neutral,Neutral,PC,Cloudy,Cloudy,PC,Strong,Strong,Other,None,None,Weak,Some,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Jul16_Aug10,F,CThruK,PartInhibit,MoreThanAve,MoreThanAve,F,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,TotalInhibit,Moderate,None,F,XNIL,XNIL,SIG,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,None,SigNegative,None,LV,LVorOther,LV
Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,VeryWet,Clear,Clear,Clear,PC,None,None,DCVZFavor,None,None,None,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jun15_Jul1,H,CThruK,PartInhibit,Average,Average,H,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Slight,H,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Average,CloseToDryAd,MarkedUpper,Other,MovingFtorOt,NegToPos,None,NWQuad,Westerly,DenvCyclone
WeakUp,Down,Neutral,Neutral,Neutral,Neutral,Wet,Wet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,Westerly,Strong,None,Strong,Marked,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Aug11_Aug20,B,AB,None,LessThanAve,Average,ABI,N1GtLIGt_4,Stability,Average,Average,B,PartInhibit,Strong,Moderate,B,XNIL,XNIL,XNIL,HighEvrywher,Stable,Dry,Steep,NoMajor,Other,DenvCyclone,NegToPos,QStationary,SWQuad,LVorOther,DenvCyclone
Down,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Neutral,Dry,Neutral,Clear,Clear,Clear,PC,None,None,Westerly,None,Strong,Weak,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,H,CThruK,Stifling,Average,MoreThanAve,H,N1GtLIGt_4,Stability,Average,Average,HI,None,Unfavorable,None,H,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Average,Steep,OtherRapid,DryMMoistL,Other,NegToPos,None,NWQuad,LVorOther,E_NE
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Wet,Wet,Wet,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,I,CThruK,TotalInhibit,MoreThanAve,Average,ABI,LIGt0,Neutral,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Moderate,I,XNIL,XNIL,SIG,LowSHighN,Steep,Average,CloseToDryAd,NoMajor,Other,MovingFtorOt,LittleChange,QStationary,AllElse,Westerly,E_NE
WeakUp,WeakUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,Wet,Clear,Clear,Clear,PC,Strong,Strong,DCVZFavor,Strong,Strong,Strong,Marked,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,May15_Jun14,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,LessUnstable,ACEFK,None,Unfavorable,None,E,XNIL,XNIL,XNIL,LowNHighS,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,None,LittleChange,Other,SWQuad,Westerly,LV
WeakUp,Down,StrongUp,WeakUp,WeakUp,Dry,Dry,Wet,Wet,PC,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Aug20_Sep15,G,CThruK,PartInhibit,LessThanAve,Average,G,N5GtLIGt_8,Stability,Average,Average,GJ,None,Strong,Strong,G,SIG,SIG,SIG,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,None,LittleChange,Moving,NWQuad,LVorOther,WidespdDnsl
Down,StronUp,Down,Down,Down,Neutral,VeryWet,Neutral,Neutral,PC,PC,PC,PC,None,Weak,Westerly,None,Weak,Weak,None,IncCapDecIns,Increasing,WeakPos,LittleChange,SIG,Aug20_Sep15,K,CThruK,PartInhibit,Average,MoreThanAve,K,N5GtLIGt_8,Stability,Average,Average,ACEFK,PartInhibit,Strong,Slight,K,XNIL,XNIL,SIG,Other,Steep,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,None,SigPositive,None,NWQuad,LVorOther,E_NE
Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Neutral,Neutral,PC,PC,PC,PC,None,None,StrongWest,None,None,None,None,LittleChange,LittleChange,Negative,LittleChange,XNIL,May15_Jun14,D,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,Average,D,None,Weak,Moderate,D,XNIL,XNIL,XNIL,LowMtsHighPl,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,None,LittleChange,Other,NWQuad,Westerly,DenvCyclone
Neutral,StronUp,Neutral,StrongUp,StrongUp,Neutral,VeryWet,Wet,Wet,Clear,Cloudy,PC,PC,None,None,StrongWest,None,None,None,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul2_Jul15,D,CThruK,None,Average,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,D,PartInhibit,Weak,Slight,D,XNIL,XNIL,XNIL,LowMtsHighPl,CloseToDryAd,Average,CloseToDryAd,StrongFront,DryMMoistL,DryLine,SigPositive,None,NWQuad,LVorOther,E_NE
StrongUp,WeakUp,Neutral,WeakUp,WeakUp,VeryWet,Wet,Wet,Wet,PC,Clear,PC,Cloudy,Strong,Strong,Westerly,Strong,Strong,Strong,None,DecCapIncIns,Decreasing,Neutral,Increasing,SVR,Aug20_Sep15,J,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,None,J,XNIL,XNIL,SVR,LowAtStation,Steep,Dry,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,None,LV,LVorOther,LV
Down,Down,Neutral,Down,Down,Neutral,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,None,None,Westerly,None,Weak,Weak,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jul16_Aug10,K,CThruK,None,Average,Average,K,LILt_8,Instability,Average,LessUnstable,ACEFK,None,Weak,Slight,K,XNIL,XNIL,XNIL,Other,Steep,Dry,Steep,MarkedUpper,MoistMDryL,MovingFtorOt,SigPositive,Other,NWQuad,Westerly,WidespdDnsl
Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Clear,PC,PC,PC,None,None,DCVZFavor,None,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Jul16_Aug10,E,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,None,Unfavorable,None,E,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Average,ModerateOrLe,OtherRapid,MoistMDryL,DryLine,LittleChange,None,AllElse,LVorOther,LV
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Neutral,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,Strong,Weak,Strong,Some,DecCapIncIns,Decreasing,WeakPos,Increasing,SVR,Aug20_Sep15,I,CThruK,TotalInhibit,MoreThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,Average,Average,HI,PartInhibit,Strong,Strong,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,StrongFront,Other,MovingFtorOt,NegToPos,QStationary,SWQuad,LVorOther,DenvCyclone
Down,StronUp,WeakUp,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,PC,Clear,Clear,PC,Weak,Weak,DCVZFavor,Weak,None,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,PartInhibit,Moderate,Slight,B,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,Dry,CloseToDryAd,StrongFront,DryMMoistL,E_W_N,LittleChange,Moving,AllElse,Westerly,DenvCyclone
WeakUp,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,Westerly,None,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Jul16_Aug10,K,CThruK,PartInhibit,LessThanAve,MoreThanAve,K,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,None,K,XNIL,XNIL,XNIL,Other,Steep,Average,Steep,StrongFront,MoistMDryL,MovingFtorOt,SigPositive,Moving,AllElse,LVorOther,LongAnticyc
Down,Neutral,Down,Down,Down,Dry,Wet,Wet,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jun15_Jul1,D,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,Average,D,PartInhibit,Weak,None,D,XNIL,XNIL,SIG,LowMtsHighPl,CloseToDryAd,Average,ModerateOrLe,MarkedUpper,DryMMoistL,DryLine,LittleChange,Other,SWQuad,Westerly,DenvCyclone
WeakUp,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,Wet,PC,Clear,PC,PC,Weak,Strong,DCVZFavor,None,Strong,Strong,Marked,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul16_Aug10,J,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,Average,GJ,Stifling,Weak,None,J,SIG,SIG,SIG,LowAtStation,Stable,Dry,Steep,NoMajor,DryMMoistL,DryLine,NegToPos,None,LV,LVorOther,DenvCyclone
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Aug11_Aug20,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,LIGt0,Neutral,LessUnstable,LessUnstable,B,PartInhibit,Moderate,Strong,B,SIG,SIG,SIG,HighEvrywher,ModerateOrLe,Average,CloseToDryAd,NoMajor,Other,DenvCyclone,LittleChange,QStationary,SWQuad,Westerly,E_NE
StrongUp,Neutral,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,Negative,Increasing,SIG,Aug20_Sep15,C,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Moderate,None,C,XNIL,XNIL,SIG,LowAtStation,Steep,Dry,Steep,MarkedUpper,MoistMDryL,E_W_S,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Neutral,StronUp,Neutral,WeakUp,WeakUp,Neutral,VeryWet,Neutral,Neutral,PC,PC,Cloudy,Cloudy,Strong,Strong,Westerly,Weak,Strong,Strong,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Jun15_Jul1,E,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,None,Strong,Strong,E,XNIL,XNIL,SIG,LowMtsHighPl,Steep,Dry,Steep,NoMajor,MoistMDryL,None,PosToNeg,None,AllElse,Westerly,LV
Neutral,StronUp,Neutral,Neutral,Neutral,Dry,Neutral,Wet,Wet,PC,Clear,Clear,Clear,None,None,Other,None,None,None,None,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,Jul16_Aug10,C,CThruK,Stifling,MoreThanAve,Average,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,Stifling,Weak,None,C,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,E_W_N,SigPositive,None,NWQuad,Westerly,LongAnticyc
Down,Neutral,Neutral,Neutral,Neutral,VeryWet,Dry,Wet,Neutral,PC,Clear,Clear,Clear,Weak,Strong,Other,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul2_Jul15,J,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,GJ,None,Weak,Moderate,J,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,QStationary,LV,LVorOther,SEQuad
