N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
StrongUp,WeakUp,StrongUp,StrongUp,StrongUp,Dry,Neutral,Neutral,Wet,PC,Cloudy,PC,PC,Strong,Strong,DCVZFavor,Weak,None,None,Marked,IncCapDecIns,Increasing,WeakPos,Decreasing,SVR,May15_Jun14,B,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,B,PartInhibit,Moderate,Slight,B,SIG,SIG,SVR,LowSHighN,ModerateOrLe,Average,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,None,SWQuad,Westerly,DenvCyclone
Neutral,Neutral,Down,Neutral,Neutral,Wet,Wet,Wet,Wet,PC,Clear,PC,PC,Strong,Strong,Westerly,Strong,Strong,Strong,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,HI,None,Strong,Strong,I,XNIL,XNIL,SIG,LowSHighN,Steep,Dry,CloseToDryAd,NoMajor,DryMMoistL,MovingFtorOt,PosToNeg,Moving,AllElse,Westerly,DenvCyclone
Down,Neutral,StrongUp,WeakUp,WeakUp,Wet,Neutral,Neutral,Wet,Clear,Cloudy,PC,PC,None,None,Westerly,None,None,Weak,None,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,Jul16_Aug10,E,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,Average,ACEFK,None,Weak,Slight,E,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Average,ModerateOrLe,NoMajor,Other,E_W_N,PosToNeg,Other,SWQuad,LVorOther,LongAnticyc
Neutral,Neutral,WeakUp,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,PC,Clear,Clear,Clear,Weak,Weak,Westerly,Weak,Weak,Strong,None,LittleChange,LittleChange,Neutral,Increasing,SIG,May15_Jun14,G,CThruK,None,LessThanAve,LessThanAve,G,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,GJ,None,Weak,Slight,G,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,None,PosToNeg,None,NWQuad,Westerly,LongAnticyc
Neutral,StronUp,Down,Neutral,Neutral,Dry,Neutral,VeryWet,Wet,PC,PC,PC,PC,Weak,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,StrongPos,Increasing,SIG,Aug20_Sep15,F,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,F,N1GtLIGt_4,Instability,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,None,F,SVR,SIG,SIG,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,E_W_S,LittleChange,None,LV,LVorOther,LV
WeakUp,Down,WeakUp,Neutral,Neutral,Dry,Neutral,Wet,Neutral,Clear,PC,Clear,Clear,Strong,Strong,Westerly,Weak,Weak,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Jul2_Jul15,J,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,GJ,None,Unfavorable,Slight,J,XNIL,XNIL,SIG,LowMtsHighPl,Steep,Dry,Steep,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,E_NE
StrongUp,Neutral,StrongUp,StrongUp,StrongUp,VeryWet,Dry,Wet,VeryWet,Clear,PC,PC,Cloudy,Weak,Weak,Other,None,None,Weak,None,LittleChange,LittleChange,Neutral,Increasing,SIG,Jun15_Jul1,D,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,LIGt0,Neutral,Average,MoreUnstable,D,Stifling,Moderate,Moderate,D,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,VeryMoist,CloseToDryAd,OtherRapid,Other,DenvCyclone,NegToPos,None,AllElse,Westerly,LV
StrongUp,Neutral,StrongUp,WeakUp,WeakUp,Wet,Wet,Wet,Wet,Clear,PC,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,May15_Jun14,J,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,GJ,PartInhibit,Moderate,None,J,XNIL,XNIL,SIG,LowAtStation,Steep,Average,Steep,NoMajor,MoistMDryL,None,LittleChange,Other,LV,LVorOther,LV
StrongUp,StronUp,Neutral,WeakUp,WeakUp,Dry,Dry,Wet,Neutral,Clear,PC,PC,PC,None,None,DCVZFavor,None,None,Weak,None,DecCapIncIns,Decreasing,StrongPos,LittleChange,XNIL,Aug20_Sep15,K,CThruK,None,LessThanAve,LessThanAve,K,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,PartInhibit,Weak,None,K,XNIL,XNIL,XNIL,Other,ModerateOrLe,Dry,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,None,AllElse,Westerly,SEQuad
WeakUp,StronUp,Down,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Aug11_Aug20,H,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,TotalInhibit,Unfavorable,None,H,XNIL,XNIL,XNIL,HighEvrywher,Stable,VeryMoist,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,SigNegative,None,NWQuad,LVorOther,SEQuad
StrongUp,Down,Down,Down,Down,Wet,Dry,Neutral,Dry,Clear,PC,Clear,Clear,Strong,Strong,Other,Weak,None,Strong,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Aug20_Sep15,C,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,LILt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,C,SIG,SIG,SIG,LowMtsHighPl,Steep,Dry,ModerateOrLe,OtherRapid,MoistMDryL,None,SigPositive,QStationary,AllElse,Westerly,LongAnticyc
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,PC,Cloudy,Cloudy,Cloudy,Weak,Strong,Other,None,Weak,Weak,None,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Jul16_Aug10,I,CThruK,None,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,HI,None,Weak,Slight,I,XNIL,XNIL,SIG,LowMtsHighPl,CloseToDryAd,VeryMoist,Steep,NoMajor,Other,MovingFtorOt,PosToNeg,QStationary,AllElse,Westerly,DenvCyclone
Neutral,WeakUp,Neutral,Neutral,Neutral,Wet,VeryWet,VeryWet,Wet,Clear,PC,PC,PC,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Aug11_Aug20,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,Strong,K,XNIL,XNIL,SIG,HighEvrywher,Steep,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_N,SigPositive,Moving,SWQuad,LVorOther,WidespdDnsl
Down,StronUp,Neutral,WeakUp,WeakUp,VeryWet,Dry,Wet,Wet,Clear,Clear,Clear,Clear,None,None,DCVZFavor,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jul2_Jul15,I,CThruK,Stifling,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Instability,MoreUnstable,LessUnstable,HI,PartInhibit,Moderate,Slight,I,XNIL,XNIL,XNIL,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,MarkedUpper,DryMMoistL,E_W_S,SigNegative,Moving,NWQuad,Westerly,E_NE
Neutral,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,Neutral,Decreasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Instability,Average,Average,D,Stifling,Strong,Slight,D,XNIL,XNIL,SIG,LowSHighN,CloseToDryAd,Dry,ModerateOrLe,OtherRapid,DryMMoistL,None,PosToNeg,Other,LV,Westerly,LV
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,Cloudy,PC,PC,PC,None,Weak,Westerly,Weak,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Aug20_Sep15,K,CThruK,PartInhibit,Average,Average,K,N5GtLIGt_8,Neutral,Average,MoreUnstable,ACEFK,Stifling,Moderate,None,K,XNIL,XNIL,XNIL,Other,Steep,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_S,LittleChange,Moving,AllElse,LVorOther,WidespdDnsl
WeakUp,WeakUp,Down,Neutral,Neutral,Wet,VeryWet,VeryWet,VeryWet,PC,PC,PC,PC,Weak,Weak,Westerly,None,Weak,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,May15_Jun14,A,AB,TotalInhibit,MoreThanAve,MoreThanAve,ABI,LIGt0,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,Strong,A,SVR,SVR,SVR,HighEvrywher,ModerateOrLe,Dry,CloseToDryAd,OtherRapid,DryMMoistL,DenvCyclone,SigNegative,Other,AllElse,Westerly,SEQuad
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Wet,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,PC,Strong,Strong,Other,Weak,None,None,None,IncCapDecIns,Increasing,WeakPos,LittleChange,SVR,May15_Jun14,I,CThruK,None,LessThanAve,MoreThanAve,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Slight,I,SIG,SIG,SVR,LowSHighN,Steep,Average,ModerateOrLe,OtherRapid,DryMMoistL,E_W_S,PosToNeg,QStationary,SWQuad,LVorOther,SEQuad
Down,StronUp,Neutral,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,Clear,PC,Clear,Clear,None,Weak,StrongWest,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,G,CThruK,PartInhibit,Average,MoreThanAve,G,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,Slight,G,SVR,SVR,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,StrongFront,MoistMDryL,DryLine,LittleChange,None,SWQuad,Westerly,WidespdDnsl
Neutral,StronUp,Neutral,WeakUp,WeakUp,VeryWet,Dry,Wet,VeryWet,PC,PC,PC,PC,Weak,Strong,DCVZFavor,Weak,None,Weak,Marked,DecCapIncIns,Decreasing,Neutral,Increasing,XNIL,May15_Jun14,H,CThruK,PartInhibit,Average,LessThanAve,H,N1GtLIGt_4,Neutral,Average,MoreUnstable,HI,PartInhibit,Weak,None,H,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Average,CloseToDryAd,NoMajor,Other,E_W_N,NegToPos,Moving,LV,LVorOther,E_NE
StrongUp,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,PC,Cloudy,Cloudy,Cloudy,None,None,Westerly,None,None,None,None,LittleChange,LittleChange,Negative,LittleChange,XNIL,Jul16_Aug10,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,None,Unfavorable,None,C,XNIL,XNIL,XNIL,LowAtStation,Steep,Average,CloseToDryAd,MarkedUpper,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Neutral,Neutral,Down,Down,Down,Dry,Wet,Wet,Wet,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Strong,None,Weak,Marked,LittleChange,LittleChange,Neutral,Increasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,LILt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Unfavorable,Slight,E,SIG,SIG,SIG,LowEvrywhere,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,Other,LittleChange,Moving,NWQuad,Westerly,E_NE
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Wet,Wet,Dry,Dry,Clear,PC,Clear,PC,None,None,StrongWest,None,None,None,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jun15_Jul1,H,CThruK,PartInhibit,Average,MoreThanAve,H,LILt_8,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Weak,Slight,H,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,NoMajor,DryMMoistL,Other,LittleChange,QStationary,NWQuad,LVorOther,E_NE
WeakUp,Neutral,Down,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,PC,Cloudy,PC,PC,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,LittleChange,SVR,Jun15_Jul1,C,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Strong,C,SIG,SIG,SVR,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,DryMMoistL,E_W_N,LittleChange,Other,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,Increasing,SIG,Jul16_Aug10,C,CThruK,Stifling,Average,Average,CDEJ,LILt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Slight,C,SIG,SIG,SIG,LowAtStation,Stable,VeryMoist,CloseToDryAd,MarkedUpper,Other,None,PosToNeg,Other,NWQuad,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Clear,PC,Clear,Clear,Weak,Strong,Westerly,None,None,None,Some,LittleChange,LittleChange,Negative,Decreasing,SVR,Jun15_Jul1,A,AB,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Neutral,LessUnstable,LessUnstable,ACEFK,None,Weak,Slight,A,SIG,SIG,SVR,LowMtsHighPl,ModerateOrLe,Average,Steep,MarkedUpper,Other,None,PosToNeg,Other,AllElse,Westerly,DenvCyclone
Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Wet,PC,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Strong,Weak,Some,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Aug20_Sep15,H,CThruK,Stifling,MoreThanAve,MoreThanAve,H,LIGt0,Instability,MoreUnstable,LessUnstable,HI,Stifling,Weak,None,H,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_S,SigPositive,Moving,LV,Westerly,E_NE
WeakUp,Down,Neutral,WeakUp,WeakUp,Neutral,Wet,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,Westerly,Strong,None,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Aug20_Sep15,K,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Strong,K,SVR,SVR,SVR,HighEvrywher,Steep,Dry,ModerateOrLe,MarkedUpper,Other,E_W_N,LittleChange,None,AllElse,Westerly,WidespdDnsl
Down,Neutral,WeakUp,Neutral,Neutral,Dry,VeryWet,Wet,Wet,Clear,PC,Clear,PC,None,Weak,Other,None,Weak,None,None,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,Jun15_Jul1,J,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,Average,GJ,Stifling,Moderate,None,J,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,Average,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,DenvCyclone
Neutral,Down,Neutral,Down,Down,Neutral,Dry,Neutral,Dry,Clear,Cloudy,PC,PC,Weak,Weak,DCVZFavor,Weak,Strong,None,Some,LittleChange,LittleChange,StrongPos,Increasing,SIG,May15_Jun14,H,CThruK,PartInhibit,LessThanAve,LessThanAve,H,LIGt0,Stability,LessUnstable,LessUnstable,HI,None,Strong,Strong,H,XNIL,XNIL,SIG,HighEvrywher,Stable,VeryMoist,CloseToDryAd,MarkedUpper,DryMMoistL,None,SigPositive,None,NWQuad,Westerly,E_NE
Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,Wet,PC,PC,Clear,Clear,None,None,Westerly,None,Weak,None,None,LittleChange,LittleChange,StrongPos,LittleChange,XNIL,Aug11_Aug20,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,GJ,PartInhibit,Weak,None,J,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LV
Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,Other,Weak,None,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jun15_Jul1,G,CThruK,PartInhibit,Average,Average,G,N1GtLIGt_4,Stability,Average,LessUnstable,GJ,None,Weak,Moderate,G,XNIL,XNIL,SIG,LowEvrywhere,Steep,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigPositive,None,SWQuad,LVorOther,WidespdDnsl
Down,WeakUp,StrongUp,Neutral,Neutral,Wet,Neutral,Neutral,Neutral,Clear,PC,PC,Cloudy,Strong,Strong,Westerly,Strong,Weak,Weak,Some,LittleChange,LittleChange,StrongPos,Increasing,SIG,Aug20_Sep15,G,CThruK,None,LessThanAve,LessThanAve,G,N1GtLIGt_4,Instability,Average,Average,GJ,PartInhibit,Strong,Strong,G,SVR,SVR,SVR,LowEvrywhere,Steep,Dry,CloseToDryAd,StrongFront,MoistMDryL,DryLine,LittleChange,Other,SWQuad,Westerly,E_NE
Down,Neutral,WeakUp,Neutral,Neutral,Dry,Wet,Neutral,Neutral,PC,Clear,PC,PC,Strong,Strong,DCVZFavor,Strong,None,Strong,Marked,LittleChange,LittleChange,WeakPos,LittleChange,SVR,Aug20_Sep15,J,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,None,Moderate,Moderate,J,SIG,SIG,SVR,LowAtStation,Stable,Dry,ModerateOrLe,NoMajor,DryMMoistL,MovingFtorOt,LittleChange,QStationary,AllElse,LVorOther,LV
WeakUp,Neutral,Down,Down,Down,Neutral,Dry,Neutral,Neutral,Cloudy,PC,PC,PC,Strong,Strong,Westerly,Strong,Weak,Weak,None,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,May15_Jun14,G,CThruK,PartInhibit,Average,LessThanAve,G,N1GtLIGt_4,Instability,Average,LessUnstable,GJ,PartInhibit,Weak,None,G,XNIL,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,DryLine,NegToPos,Other,SWQuad,LVorOther,LV
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,Clear,PC,Clear,Clear,None,None,Other,None,Strong,Strong,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Aug20_Sep15,F,CThruK,PartInhibit,MoreThanAve,MoreThanAve,F,N1GtLIGt_4,Stability,Average,Average,ACEFK,None,Weak,None,F,XNIL,XNIL,XNIL,Other,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,None,LittleChange,Other,LV,LVorOther,SEQuad
