N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
StrongUp,StronUp,StrongUp,StrongUp,StrongUp,Neutral,Dry,Neutral,Wet,PC,PC,Cloudy,Cloudy,Weak,Weak,Westerly,Weak,Strong,Weak,None,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,Average,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,B,Stifling,Strong,Moderate,B,SIG,SIG,SIG,HighEvrywher,Steep,VeryMoist,Steep,NoMajor,Other,DenvCyclone,PosToNeg,Moving,SWQuad,LVorOther,DenvCyclone
StrongUp,Down,Neutral,Neutral,Neutral,VeryWet,Dry,Wet,Wet,PC,Clear,PC,PC,None,None,Westerly,None,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,May15_Jun14,G,CThruK,PartInhibit,Average,MoreThanAve,G,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Strong,Strong,G,SIG,SIG,SIG,LowEvrywhere,ModerateOrLe,Dry,CloseToDryAd,NoMajor,MoistMDryL,None,LittleChange,Moving,SWQuad,Westerly,LV
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Wet,Neutral,Wet,Wet,PC,PC,Cloudy,Cloudy,Weak,Weak,Westerly,None,None,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Jul2_Jul15,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,HI,None,Weak,Moderate,I,SVR,SVR,SVR,LowSHighN,Steep,Average,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,LittleChange,QStationary,LV,Westerly,DenvCyclone
Neutral,Down,Neutral,Down,Down,Neutral,Neutral,Neutral,Neutral,PC,Cloudy,Cloudy,PC,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,G,CThruK,PartInhibit,Average,Average,G,N1GtLIGt_4,Neutral,Average,Average,GJ,None,Moderate,Moderate,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,E_W_N,NegToPos,None,SWQuad,Westerly,LongAnticyc
WeakUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,VeryWet,VeryWet,VeryWet,PC,PC,PC,Cloudy,Weak,Weak,DCVZFavor,Weak,Weak,None,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,May15_Jun14,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Unfavorable,Moderate,A,SIG,SIG,SIG,LowSHighN,Stable,Dry,Steep,MarkedUpper,DryMMoistL,None,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
StrongUp,Neutral,Neutral,StrongUp,StrongUp,Wet,Dry,VeryWet,VeryWet,PC,Clear,Clear,Cloudy,Weak,Strong,Westerly,Strong,None,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,A,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Slight,A,SVR,SVR,SVR,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,Other,DenvCyclone,PosToNeg,Moving,SWQuad,Westerly,LongAnticyc
Down,Neutral,WeakUp,Down,Down,Neutral,Neutral,Neutral,Neutral,PC,PC,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,Negative,Increasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,Average,ACEFK,PartInhibit,Moderate,None,E,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,VeryMoist,Steep,NoMajor,MoistMDryL,E_W_S,LittleChange,None,SWQuad,Westerly,LV
StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Wet,Wet,VeryWet,PC,PC,PC,Cloudy,None,None,Westerly,None,Strong,Weak,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Aug20_Sep15,D,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,D,None,Strong,Strong,D,SVR,SVR,SVR,LowMtsHighPl,Steep,Dry,Steep,StrongFront,MoistMDryL,DryLine,NegToPos,None,AllElse,LVorOther,LongAnticyc
Neutral,StronUp,Neutral,WeakUp,WeakUp,Dry,VeryWet,Wet,Wet,PC,PC,Clear,Clear,Strong,Strong,Westerly,Weak,None,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,SVR,Jun15_Jul1,B,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,Stifling,Weak,None,B,XNIL,XNIL,SVR,HighEvrywher,Stable,VeryMoist,CloseToDryAd,NoMajor,Other,DenvCyclone,LittleChange,Other,LV,LVorOther,E_NE
StrongUp,Down,WeakUp,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,PC,Clear,PC,PC,Strong,Strong,Westerly,None,None,None,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,C,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,LILt_8,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Strong,Strong,C,SVR,SVR,SVR,LowEvrywhere,Steep,Dry,CloseToDryAd,OtherRapid,Other,E_W_N,NegToPos,None,NWQuad,Westerly,LongAnticyc
Down,Down,Neutral,Down,Down,Neutral,Dry,Dry,Dry,PC,Clear,Clear,Clear,None,None,Westerly,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul16_Aug10,F,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,F,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Strong,None,F,XNIL,XNIL,XNIL,HighEvrywher,Stable,VeryMoist,ModerateOrLe,NoMajor,Other,Other,NegToPos,None,AllElse,Westerly,LV
StrongUp,Down,Neutral,Neutral,Neutral,VeryWet,Neutral,VeryWet,VeryWet,Clear,PC,Clear,Clear,Weak,Strong,Westerly,Strong,None,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,Jul2_Jul15,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Moderate,C,SIG,SIG,SVR,LowEvrywhere,ModerateOrLe,Dry,CloseToDryAd,OtherRapid,Other,E_W_N,NegToPos,Other,NWQuad,Westerly,LongAnticyc
Down,Down,Neutral,Down,Down,Wet,Dry,Wet,Neutral,PC,PC,PC,Clear,None,None,DCVZFavor,None,None,None,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,May15_Jun14,A,AB,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Strong,Strong,A,SVR,SVR,SVR,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,Other,DenvCyclone,SigNegative,Moving,SWQuad,Westerly,DenvCyclone
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Dry,Dry,Neutral,Wet,PC,Clear,PC,Cloudy,Weak,Weak,DCVZFavor,Weak,None,Weak,Some,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,Aug20_Sep15,G,CThruK,None,LessThanAve,LessThanAve,G,N1GtLIGt_4,Stability,Average,LessUnstable,GJ,None,Weak,Slight,G,XNIL,XNIL,SIG,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,LittleChange,QStationary,LV,Westerly,WidespdDnsl
Down,Neutral,Neutral,Down,Down,Dry,Dry,Neutral,Neutral,PC,Clear,PC,PC,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Aug20_Sep15,G,CThruK,None,LessThanAve,LessThanAve,G,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,None,Strong,Strong,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,Other,Other,LittleChange,None,AllElse,Westerly,E_NE
StrongUp,StronUp,Down,WeakUp,WeakUp,Dry,Neutral,Dry,Neutral,Clear,Cloudy,Clear,Clear,None,None,Westerly,None,Strong,Weak,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,May15_Jun14,H,CThruK,None,LessThanAve,LessThanAve,H,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Unfavorable,None,H,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,VeryMoist,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,None,NWQuad,LVorOther,E_NE
WeakUp,Neutral,Down,WeakUp,WeakUp,Dry,Neutral,VeryWet,Wet,Clear,Clear,Clear,PC,None,None,DCVZFavor,None,Weak,Strong,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,J,CThruK,Stifling,MoreThanAve,LessThanAve,CDEJ,LILt_8,Stability,Average,Average,GJ,None,Unfavorable,None,J,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,Other,AllElse,LVorOther,LV
StrongUp,Neutral,Neutral,StrongUp,StrongUp,Neutral,Neutral,Neutral,Neutral,PC,Clear,PC,Cloudy,None,Weak,DCVZFavor,None,Weak,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,SIG,Aug20_Sep15,I,CThruK,PartInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,Average,HI,None,Moderate,Moderate,I,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Dry,CloseToDryAd,OtherRapid,DryMMoistL,E_W_N,SigNegative,QStationary,LV,LVorOther,DenvCyclone
Down,StronUp,Down,Neutral,Neutral,VeryWet,Dry,Neutral,Wet,PC,PC,PC,PC,Weak,Weak,StrongWest,None,None,None,Some,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Jul2_Jul15,B,AB,PartInhibit,LessThanAve,Average,ABI,LIGt0,Instability,Average,Average,B,PartInhibit,Strong,Strong,B,SIG,SIG,SIG,HighEvrywher,Stable,Average,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,Other,AllElse,LVorOther,E_NE
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,Wet,Wet,VeryWet,PC,PC,PC,Cloudy,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,LittleChange,SIG,May15_Jun14,I,CThruK,None,LessThanAve,LessThanAve,ABI,LILt_8,Instability,MoreUnstable,MoreUnstable,HI,None,Unfavorable,Slight,I,SVR,SVR,SVR,LowSHighN,Stable,VeryMoist,ModerateOrLe,StrongFront,Other,E_W_N,NegToPos,QStationary,SWQuad,Westerly,SEQuad
WeakUp,StronUp,Neutral,StrongUp,StrongUp,Neutral,Dry,Dry,Neutral,Cloudy,PC,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,May15_Jun14,K,CThruK,Stifling,Average,Average,K,N5GtLIGt_8,Instability,Average,LessUnstable,ACEFK,None,Weak,Moderate,K,XNIL,XNIL,SIG,Other,Steep,Dry,ModerateOrLe,MarkedUpper,DryMMoistL,DryLine,SigNegative,QStationary,NWQuad,Westerly,LongAnticyc
Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,Clear,PC,Clear,Clear,Weak,Weak,DCVZFavor,None,None,None,Some,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Jul2_Jul15,I,CThruK,Stifling,MoreThanAve,MoreThanAve,ABI,N5GtLIGt_8,Stability,LessUnstable,MoreUnstable,HI,None,Strong,Strong,I,SVR,SVR,SVR,LowMtsHighPl,ModerateOrLe,Dry,ModerateOrLe,StrongFront,Other,E_W_S,SigPositive,QStationary,AllElse,LVorOther,E_NE
Down,StronUp,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Dry,Neutral,Cloudy,Clear,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,LittleChange,LittleChange,WeakPos,LittleChange,SIG,Jul16_Aug10,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,Average,ACEFK,None,Strong,Strong,E,XNIL,XNIL,SIG,LowSHighN,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,SigNegative,None,SWQuad,Westerly,LV
StrongUp,Neutral,Neutral,StrongUp,StrongUp,Neutral,Wet,Neutral,VeryWet,Clear,PC,Clear,Cloudy,None,None,DCVZFavor,None,Weak,None,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Jun15_Jul1,H,CThruK,None,LessThanAve,LessThanAve,H,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,None,Weak,Slight,H,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,Other,None,SigPositive,Moving,NWQuad,LVorOther,SEQuad
StrongUp,Down,Neutral,Neutral,Neutral,VeryWet,Neutral,Wet,Neutral,PC,Clear,PC,PC,Strong,Strong,DCVZFavor,Strong,Weak,Strong,Marked,LittleChange,LittleChange,StrongPos,Increasing,SIG,May15_Jun14,I,CThruK,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,None,I,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Average,CloseToDryAd,NoMajor,DryMMoistL,E_W_N,LittleChange,QStationary,SWQuad,Westerly,E_NE
Down,Down,StrongUp,Down,Down,VeryWet,Wet,VeryWet,Wet,PC,Clear,Clear,Clear,None,None,StrongWest,None,None,Strong,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Aug20_Sep15,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,ACEFK,Stifling,Weak,None,C,XNIL,XNIL,XNIL,LowNHighS,Steep,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Down,Down,WeakUp,Neutral,Neutral,VeryWet,Wet,VeryWet,Wet,Clear,PC,Clear,PC,None,Weak,DCVZFavor,Weak,Strong,Strong,None,LittleChange,LittleChange,WeakPos,Increasing,SIG,Jul16_Aug10,C,CThruK,Stifling,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,Average,ACEFK,None,Strong,Strong,C,SVR,SVR,SVR,LowEvrywhere,ModerateOrLe,Average,CloseToDryAd,NoMajor,Other,E_W_N,PosToNeg,None,NWQuad,Westerly,WidespdDnsl
Down,Neutral,Neutral,Neutral,Neutral,Dry,Wet,VeryWet,Wet,Cloudy,Cloudy,Cloudy,PC,Strong,Strong,DCVZFavor,Weak,Weak,Strong,Marked,IncCapDecIns,Increasing,WeakPos,LittleChange,SIG,Aug20_Sep15,G,CThruK,Stifling,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,Stifling,Strong,Moderate,G,SVR,SVR,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,None,LittleChange,None,NWQuad,Westerly,WidespdDnsl
